Dish Name,Carbohydrates (g),Protein (g),Fats (g)
Coconut chutney (Nariyal ki chutney),8.29,3.59,25.0
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),21.18,2.81,0.51
Custard tart,28.66,3.72,10.73
Lemon tart,30.68,6.12,17.45
Jam tart,46.18,4.42,17.35
Orange cream tart,27.43,2.58,8.72
Pineapple tart,28.62,2.29,8.21
Cheese and mushroom tart,21.43,5.51,15.28
Cottage cheese pie,20.66,7.45,13.83
Minced meat pie,18.11,7.38,13.04
Apple cinnamon pie,33.68,3.35,12.21
Lemon meringue pie,35.11,3.88,8.16
Chocolate meringue pie,28.8,4.98,9.17
Cream puffs,16.0,4.7,15.48
Chocolate eclairs,26.22,4.24,13.5
Cheese balls,4.81,2.21,72.57
Minced meat patties,15.25,6.88,19.57
Cheese patties,22.23,7.38,22.67
Hot cheese souffle,5.41,9.18,13.23
Hot potato souffle,8.56,5.51,7.64
Hot fish souffle,3.69,11.23,9.24
Hot spinach souffle,4.19,5.43,7.24
Plain cream cake,47.18,6.18,16.17
Apple cake (Seb ka cake),39.48,4.94,12.87
Marble cake,46.88,6.3,16.27
Chocolate cake,45.14,6.01,15.18
Orange cake,48.28,6.1,16.21
Fruit Loaf ,46.49,5.36,13.31
Banana cake (Kele ka cake),40.0,5.77,23.31
Chocolate chiffon cake,37.87,5.76,15.8
Christmas cake,48.29,5.49,16.88
Strawberry and vanilla cake with butter icing,44.25,3.89,20.39
Eggless cake,46.14,8.12,11.75
Swiss roll,48.34,7.3,3.77
Pineapple pastry ,29.04,6.06,7.87
Black forest pastry,34.48,6.09,8.46
Coconut finger,42.56,7.09,8.86
Pineapple cake ,23.51,5.01,9.34
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),47.1,6.56,23.62
Chocolate chip cookies,57.98,5.79,19.38
Sweet plain biscuit,50.29,5.86,17.67
Chocolate biscuit,51.56,5.88,17.09
Coconut biscuit (Nariyal ke biscuit),42.9,5.78,27.16
Sweet and salty biscuit (Meethay aur namkeen biscuit),45.09,6.15,22.39
Peanut biscuit,46.72,8.45,20.41
Pin wheel biscuit,54.56,5.4,18.66
Saffron biscuit (Kesar biscuit),59.7,6.05,22.01
Masala biscuit,45.18,6.06,20.75
Ice box cookies,56.09,5.7,14.44
Ginger bread man,60.26,6.61,11.01
Danish cookies,58.0,5.33,24.92
Short bread cookies,64.82,6.03,17.98
Coffee biscuit,46.55,6.9,23.0
Melting moments,55.84,5.71,21.78
Ginger biscuit (Adarak ke biscuit),58.44,5.98,18.31
Soyabean muthias,3.7,2.46,90.45
Soyabean tikki,4.39,3.53,74.02
Soyabean namak paras,4.65,2.65,89.83
Peanut burfi (Moongfali ki burfi),48.14,9.31,36.84
Spinach peanut namak paras (Palak moongfali namak paras),6.62,1.65,78.51
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),7.63,2.08,80.04
Rice moong dal cheela (Chawal aur moong dal ka cheela),11.13,2.74,82.44
Split bengal gram sweet rice (Channa dal sweet rice),41.07,4.15,0.64
Sweet poori (Meethi poori),14.26,2.12,79.63
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),60.0,9.84,18.41
Spinach burfi (Palak burfi),12.76,2.71,6.81
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),62.66,9.51,7.93
Sprouted moong daliya ,14.77,2.81,4.71
Sprouted moong poha ,26.6,5.59,6.89
Pearl millet ladoo (Bajra ladoo),50.98,9.61,8.06
Paushtik ladoo,60.34,7.65,24.98
Paushtik roti,26.59,7.17,1.51
Semolina carrot vada (Suji gajar vada),6.52,1.56,74.07
Dhokla,30.68,13.45,5.28
Kashmiri tea (Kehwa),5.23,0.17,0.51
Steeped hot coffee,3.01,0.39,0.33
Hot chocolate,9.02,3.43,4.61
Cold coffee (with cream),11.98,1.93,3.29
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),11.15,2.01,2.77
Flavoured milkshake,8.65,2.06,2.83
Jal jeera,6.7,0.44,0.26
Gingo,12.42,0.14,0.06
Mintade,10.59,0.03,0.02
Canjee,0.44,0.24,0.42
Cauliflower canjee (Phoolgobhi ki canjee),0.35,0.39,0.42
Potato canjee (Aloo canjee),2.69,0.44,0.39
Vermicelli porridge (Semiya/Seviyan porridge),10.56,2.5,2.98
Semolina upma (Suji/Rava upma),16.31,3.3,7.49
Vermicelli upma (Semiya/Seviyan upma),16.88,3.11,7.45
Rice upma,17.96,2.63,7.46
Bread upma,12.6,2.8,7.75
Vegetable upma,16.46,4.73,6.63
Poha,35.05,6.09,14.14
Vegetable poha,21.52,4.89,8.07
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),19.42,6.97,5.11
Paneer stuffed cheela/chilla,19.16,11.44,8.89
Indian style egg bhujia (Anda bhujia (Indian style)),3.76,6.1,7.02
French omelette/omlet,0.41,10.03,18.86
Puffy omelette/omlet,0.08,8.82,16.84
Orange omelette/omlet,1.68,8.93,16.84
Cheese and mushroom omelette/omlet,1.68,9.69,17.82
Spanish omelette/omlet,5.1,8.25,11.44
Mixed stock,0.33,2.06,1.71
Meat stock,0.0,2.1,1.78
White stock,0.4,0.07,0.56
Meat consomme (with mutton),0.51,14.86,13.68
Consomme au julienne,1.49,12.49,10.66
Consomme au vermicelli,1.3,15.23,12.98
Green pea soup (Matar ka soup),3.63,11.06,12.9
Spinach soup (Palak ka soup),3.03,10.54,14.26
Mixed vegetable soup,2.95,8.22,11.66
Cheese soup,1.87,12.39,17.07
Mulligatawny soup,8.24,11.26,13.28
Cream of carrot soup,5.69,8.27,12.35
Cream of broccoli soup,3.72,8.97,12.75
Cream of potato soup,6.14,8.1,12.05
Almond soup (Badam ka soup),3.68,10.13,13.8
Cold cucumber cream soup ,1.76,0.34,0.34
Cold tomato soup,0.59,0.11,1.56
Chicken stew,4.44,7.19,8.91
Veg paneer stew,10.22,6.98,8.41
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),26.37,4.37,7.27
Methi parantha/paratha,22.19,4.27,4.34
Bathua poori,13.85,2.35,59.14
Gram flour poori (Besan poori),10.93,2.59,71.51
Beetroot poori (Chukandar ki poori),12.29,1.91,52.18
Peas poori (Matar ki poori),14.92,3.04,57.69
Peas kachori (Matar kachori),13.25,3.21,57.51
Pizza,9.94,6.85,8.72
Bacon and mushroom pancake,8.47,6.82,10.6
Cheese and tomato pancake,10.66,5.15,9.28
Minced meat pancake (with chicken),8.18,12.01,10.48
Eggplant/Brinjal rice (Vangi bhat),31.74,5.28,3.67
Kashmiri 'tahar',19.11,1.95,1.37
Cumin pulao (Jeera/Zeera pulao),23.61,2.47,3.2
Peas pulao (Matar pulao),18.42,3.89,1.9
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),19.72,3.6,2.3
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),21.55,3.44,2.58
Mutton pulao,11.26,6.52,10.78
Chicken pulao,11.17,6.07,8.48
Mexican rice,14.21,4.62,4.88
Plain khitchdi (Plain khichri/khichdi),10.04,1.72,1.01
Instant idli (with semolina),43.4,9.16,3.61
Plain dosa,64.08,10.34,8.43
Masala dosa mixed vegetable fillings,23.02,4.84,3.26
Masala dosa paneer fillings,29.76,10.31,8.84
Uttapam,36.28,6.18,9.03
Appam,13.28,3.12,22.63
Beans and macaroni,14.24,4.58,7.01
Spaghetti bolognese,10.04,9.35,9.51
Meat and macaroni casserole,16.12,9.15,10.17
Spaghetti with meat balls and tomato sauce,10.46,5.61,10.64
Spaghetti with paneer balls and tomato sauce,12.72,3.95,10.44
Lasagne with meat sauce,5.38,2.9,3.43
Lasagne with vegetables,5.9,1.71,2.16
Home made egg noodles,42.92,6.55,4.37
Sour lentils (Khatti dal),6.04,2.22,0.12
Urad special dehusked,8.86,3.14,2.17
Arhar with spinach (Arhar dal aur palak),4.77,2.05,2.76
Moong dal with vadi,1.0,0.4,2.05
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),3.37,1.13,0.88
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),2.85,1.11,0.87
Green gram whole with baghar (Sabut moong dal with tadka),6.8,3.23,2.48
Urad sabut special,5.03,2.33,5.46
Kabuli channa curry,7.63,2.92,3.06
Besan gatte curry,16.26,7.75,10.72
Dry masala chops,3.3,9.08,9.54
Mutton korma,2.53,7.09,8.54
Shahi keema kofta curry,1.73,4.14,43.83
Minced meat ball curry,2.86,6.82,7.85
Boti kebab,3.06,9.22,9.27
Mutton seekh kebab,3.11,11.25,8.43
Indian lamb and egg curry (Nargisi kofta),2.07,3.84,34.7
Soya chunks sweet and sour (Nutrinugget sweet and sour),3.27,2.85,55.99
Soya chunks korma (Nutrinugget korma),7.67,3.86,9.5
Mushroom matar,5.33,2.79,4.11
Soya chunks and peas (Nutrinugget matar),5.82,3.03,5.11
